Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,ESCH-SUR-ALZETTE STEG,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
219.0,132.0,41.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,440.0,0.0,1032.0,0.0,0.0,0.0,315.0,0.0,65.0,35.0,100.0,212.0,208.0,20.0,47.0,0.0,279.0,209.0,0.0,105.0,0.0,496.0,488.0,0.0,1006.0,12.0,18.0,0.0,269.0
231.0,136.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.0,0.0,1034.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,102.0,211.0,207.0,0.0,93.0,0.0,288.0,209.0,0.0,105.0,0.0,496.0,487.0,0.0,1005.0,35.0,40.0,0.0,244.0
230.0,137.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,0.0,1035.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,101.0,210.0,209.0,0.0,79.0,0.0,291.0,209.0,0.0,105.0,0.0,496.0,488.0,0.0,1005.0,34.0,51.0,0.0,214.0
217.0,131.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,1035.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,98.0,213.0,209.0,0.0,66.0,0.0,264.0,206.0,0.0,105.0,0.0,496.0,488.0,0.0,1005.0,25.0,34.0,0.0,219.0
246.0,140.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1035.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,104.0,214.0,206.0,0.0,66.0,0.0,311.0,206.0,0.0,105.0,0.0,496.0,488.0,0.0,1005.0,32.0,39.0,0.0,249.0
240.0,140.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,1035.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,103.0,215.0,210.0,0.0,74.0,0.0,311.0,208.0,0.0,105.0,0.0,496.0,488.0,0.0,1005.0,40.0,47.0,0.0,252.0
258.0,146.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,1035.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,107.0,214.0,211.0,0.0,50.0,3.0,336.0,208.0,0.0,105.0,0.0,496.0,488.0,0.0,1005.0,24.0,28.0,0.0,254.0
219.0,134.0,34.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1037.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,101.0,212.0,210.0,0.0,52.0,6.0,282.0,208.0,0.0,105.0,0.0,496.0,488.0,0.0,1005.0,22.0,25.0,0.0,238.0
