Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,1035.0,0.0,0.0,0.0,106.0,105.0,126.0,45.0,0.0,0.0,0.0,201.0,0.0,0.0,202.0,0.0,105.0,314.0,474.0,496.0,1029.0,1044.0,105.0,139.0,229.0,0.0
0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,1035.0,0.0,0.0,0.0,100.0,98.0,122.0,52.0,0.0,0.0,0.0,211.0,0.0,0.0,152.0,0.0,105.0,307.0,474.0,496.0,1030.0,1044.0,134.0,151.0,229.0,0.0
0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1035.0,12.0,0.0,0.0,106.0,105.0,126.0,50.0,0.0,0.0,0.0,211.0,0.0,0.0,167.0,0.0,105.0,314.0,474.0,496.0,1029.0,1044.0,143.0,163.0,229.0,0.0
0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1036.0,36.0,0.0,0.0,108.0,107.0,125.0,51.0,0.0,0.0,0.0,211.0,0.0,0.0,207.0,0.0,105.0,309.0,474.0,496.0,1029.0,1044.0,144.0,164.0,229.0,0.0
0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,1035.0,39.0,0.0,8.0,119.0,117.0,132.0,50.0,0.0,0.0,0.0,211.0,0.0,0.0,204.0,9.0,105.0,322.0,474.0,496.0,1029.0,1045.0,144.0,164.0,229.0,0.0
0.0,0.0,156.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1022.0,1035.0,67.0,28.0,33.0,117.0,116.0,133.0,50.0,0.0,0.0,0.0,211.0,2.0,0.0,201.0,38.0,105.0,364.0,476.0,496.0,1029.0,1045.0,144.0,167.0,332.0,0.0
0.0,0.0,160.0,0.0,0.0,62.0,113.0,0.0,0.0,0.0,0.0,1021.0,1035.0,127.0,128.0,125.0,131.0,130.0,141.0,50.0,0.0,0.0,0.0,211.0,14.0,0.0,199.0,110.0,108.0,350.0,477.0,496.0,1030.0,1044.0,143.0,168.0,344.0,0.0
0.0,0.0,156.0,115.0,0.0,132.0,162.0,0.0,173.0,0.0,0.0,1020.0,1034.0,149.0,151.0,158.0,129.0,127.0,139.0,50.0,0.0,0.0,0.0,211.0,78.0,0.0,199.0,343.0,119.0,365.0,477.0,496.0,1029.0,1044.0,143.0,166.0,339.0,0.0
0.0,0.0,147.0,131.0,129.0,132.0,189.0,185.0,188.0,0.0,0.0,1020.0,1034.0,148.0,150.0,159.0,129.0,128.0,139.0,50.0,0.0,0.0,0.0,209.0,75.0,0.0,204.0,344.0,120.0,373.0,477.0,496.0,1027.0,1048.0,138.0,164.0,339.0,0.0
0.0,0.0,143.0,6.0,6.0,2.0,186.0,2.0,170.0,0.0,0.0,1020.0,1034.0,150.0,151.0,161.0,112.0,111.0,130.0,49.0,0.0,0.0,0.0,206.0,35.0,0.0,204.0,344.0,123.0,370.0,477.0,496.0,1029.0,1046.0,121.0,152.0,336.0,0.0
0.0,0.0,145.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1019.0,1033.0,126.0,128.0,144.0,103.0,102.0,124.0,50.0,0.0,0.0,0.0,208.0,0.0,0.0,201.0,236.0,127.0,365.0,477.0,496.0,1029.0,1045.0,127.0,158.0,334.0,0.0
