Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
186.0,123.0,59.0,0.0,0.0,0.0,0.0,0.0,15.0,430.0,401.0,1014.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,98.0,0.0,0.0,388.0,35.0,40.0,0.0,342.0,0.0,295.0,99.0,385.0,0.0,0.0,0.0,1040.0,29.0,48.0,239.0,188.0
136.0,107.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,401.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,388.0,44.0,73.0,0.0,310.0,0.0,201.0,99.0,387.0,0.0,0.0,0.0,1040.0,25.0,46.0,238.0,260.0
135.0,106.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,401.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,388.0,53.0,109.0,0.0,329.0,0.0,151.0,96.0,290.0,0.0,0.0,0.0,1040.0,42.0,44.0,237.0,279.0
134.0,106.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,401.0,1014.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,91.0,0.0,0.0,388.0,54.0,114.0,0.0,329.0,0.0,141.0,95.0,278.0,0.0,0.0,0.0,1039.0,45.0,49.0,241.0,241.0
148.0,109.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,401.0,1015.0,0.0,0.0,0.0,0.0,66.0,65.0,74.0,98.0,0.0,0.0,388.0,49.0,107.0,0.0,311.0,0.0,271.0,95.0,384.0,0.0,0.0,0.0,1039.0,54.0,57.0,239.0,234.0
288.0,154.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,401.0,1015.0,0.0,0.0,0.0,0.0,101.0,100.0,120.0,100.0,0.0,0.0,388.0,76.0,134.0,0.0,325.0,0.0,325.0,95.0,393.0,0.0,0.0,0.0,1040.0,51.0,48.0,363.0,295.0
290.0,155.0,99.0,0.0,0.0,110.0,0.0,128.0,167.0,431.0,401.0,1016.0,0.0,0.0,0.0,0.0,91.0,92.0,117.0,99.0,0.0,0.0,388.0,69.0,139.0,0.0,355.0,0.0,304.0,98.0,387.0,0.0,0.0,0.0,1040.0,58.0,69.0,376.0,299.0
289.0,155.0,49.0,0.0,83.0,109.0,116.0,195.0,175.0,431.0,401.0,1015.0,0.0,0.0,0.0,0.0,93.0,93.0,117.0,99.0,0.0,0.0,389.0,38.0,71.0,56.0,353.0,0.0,342.0,104.0,392.0,0.0,0.0,0.0,1039.0,39.0,53.0,377.0,298.0
