Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,74.0,92.0,0.0,219.0,205.0,0.0,89.0,256.0,472.0,482.0,1013.0,0.0,59.0,58.0,0.0,216.0
0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,86.0,98.0,0.0,227.0,205.0,0.0,89.0,269.0,471.0,482.0,1013.0,0.0,62.0,54.0,0.0,185.0
0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,97.0,109.0,0.0,252.0,205.0,11.0,89.0,261.0,472.0,482.0,1014.0,0.0,65.0,62.0,0.0,210.0
0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,107.0,114.0,0.0,241.0,205.0,56.0,89.0,260.0,472.0,482.0,1014.0,0.0,59.0,64.0,0.0,183.0
0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,126.0,151.0,0.0,168.0,205.0,270.0,89.0,245.0,472.0,483.0,1015.0,0.0,72.0,82.0,0.0,186.0
0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,122.0,151.0,0.0,206.0,205.0,309.0,89.0,268.0,472.0,483.0,1015.0,0.0,70.0,80.0,0.0,184.0
0.0,0.0,89.0,0.0,103.0,111.0,0.0,157.0,0.0,0.0,434.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,124.0,144.0,0.0,281.0,205.0,340.0,93.0,363.0,472.0,486.0,1015.0,0.0,77.0,92.0,0.0,277.0
0.0,0.0,103.0,0.0,122.0,132.0,183.0,194.0,0.0,0.0,433.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,138.0,170.0,0.0,224.0,205.0,340.0,93.0,337.0,472.0,486.0,1014.0,0.0,81.0,98.0,0.0,295.0
