Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen,Rentel Offshore WP
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Wind Offshore
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
232.0,135.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,76.0,78.0,0.0,0.0,206.0,0.0,89.0,349.0,463.0,470.0,999.0,0.0,48.0,64.0,339.0,229.0,
227.0,133.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,54.0,66.0,0.0,0.0,205.0,0.0,89.0,322.0,464.0,470.0,1000.0,0.0,40.0,54.0,342.0,266.0,
226.0,133.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,35.0,41.0,0.0,0.0,205.0,0.0,89.0,302.0,464.0,472.0,1001.0,0.0,23.0,31.0,343.0,279.0,
235.0,136.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,21.0,26.0,0.0,0.0,206.0,0.0,89.0,323.0,464.0,472.0,1002.0,0.0,14.0,24.0,343.0,284.0,
224.0,132.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,18.0,18.0,0.0,0.0,205.0,0.0,89.0,302.0,464.0,472.0,1005.0,0.0,9.0,11.0,343.0,285.0,
242.0,138.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,12.0,9.0,0.0,0.0,205.0,0.0,89.0,348.0,468.0,472.0,1007.0,0.0,2.0,5.0,341.0,284.0,
249.0,141.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,15.0,15.0,0.0,0.0,206.0,0.0,89.0,375.0,468.0,472.0,1008.0,0.0,6.0,12.0,338.0,281.0,
235.0,137.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,16.0,15.0,0.0,0.0,206.0,0.0,89.0,361.0,468.0,472.0,1006.0,0.0,8.0,12.0,339.0,292.0,
233.0,136.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,11.0,11.0,0.0,0.0,205.0,0.0,89.0,353.0,466.0,472.0,1004.0,0.0,5.0,8.0,329.0,293.0,
229.0,134.0,9.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,13.0,13.0,0.0,0.0,205.0,0.0,89.0,339.0,462.0,472.0,1001.0,0.0,5.0,11.0,323.0,274.0,
222.0,131.0,15.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,23.0,24.0,0.0,0.0,205.0,0.0,89.0,322.0,456.0,472.0,999.0,0.0,12.0,18.0,315.0,253.0,
209.0,126.0,27.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,45.0,49.0,0.0,0.0,205.0,0.0,89.0,311.0,456.0,472.0,998.0,0.0,23.0,29.0,313.0,254.0,
201.0,123.0,29.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,49.0,54.0,0.0,0.0,205.0,0.0,89.0,300.0,454.0,472.0,996.0,0.0,24.0,23.0,308.0,237.0,
205.0,124.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,96.0,100.0,0.0,0.0,205.0,0.0,89.0,308.0,452.0,472.0,995.0,0.0,53.0,45.0,306.0,271.0,
205.0,124.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,111.0,123.0,0.0,0.0,205.0,0.0,89.0,307.0,450.0,470.0,993.0,0.0,68.0,65.0,307.0,272.0,
207.0,125.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,110.0,122.0,0.0,0.0,205.0,0.0,89.0,309.0,450.0,469.0,994.0,0.0,76.0,78.0,307.0,273.0,
213.0,127.0,84.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,124.0,129.0,0.0,0.0,205.0,0.0,89.0,325.0,450.0,469.0,993.0,0.0,88.0,88.0,310.0,265.0,
209.0,126.0,86.0,0.0,0.0,136.0,0.0,0.0,45.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,125.0,133.0,0.0,0.0,205.0,0.0,89.0,324.0,450.0,469.0,993.0,0.0,96.0,99.0,316.0,254.0,
202.0,123.0,91.0,0.0,0.0,144.0,0.0,0.0,208.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,131.0,141.0,0.0,0.0,205.0,0.0,89.0,307.0,450.0,468.0,992.0,0.0,96.0,97.0,317.0,266.0,
242.0,138.0,94.0,0.0,0.0,30.0,0.0,0.0,177.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,140.0,151.0,0.0,0.0,205.0,0.0,89.0,347.0,449.0,469.0,992.0,0.0,95.0,89.0,323.0,259.0,
247.0,139.0,102.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,149.0,140.0,0.0,0.0,205.0,0.0,89.0,362.0,449.0,468.0,992.0,0.0,66.0,54.0,331.0,290.0,
257.0,143.0,66.0,0.0,0.0,87.0,84.0,190.0,174.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,116.0,114.0,0.0,0.0,212.0,0.0,89.0,366.0,452.0,468.0,994.0,0.0,82.0,69.0,335.0,301.0,
223.0,132.0,84.0,0.0,0.0,0.0,4.0,10.0,102.0,0.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,138.0,168.0,0.0,0.0,219.0,0.0,89.0,294.0,456.0,469.0,995.0,0.0,114.0,126.0,349.0,303.0,
221.0,131.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,154.0,192.0,0.0,0.0,206.0,0.0,89.0,311.0,460.0,469.0,997.0,0.0,120.0,136.0,176.0,292.0,
206.0,128.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,157.0,191.0,0.0,0.0,206.0,0.0,89.0,317.0,463.0,469.0,999.0,0.0,119.0,130.0,0.0,274.0,
118.0,98.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,150.0,169.0,0.0,0.0,205.0,0.0,89.0,337.0,463.0,469.0,1000.0,0.0,99.0,110.0,0.0,284.0,97.0
176.0,115.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,121.0,126.0,0.0,0.0,205.0,0.0,89.0,364.0,464.0,468.0,1001.0,0.0,76.0,71.0,0.0,260.0,84.0
214.0,129.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,92.0,86.0,0.0,0.0,205.0,0.0,89.0,379.0,462.0,475.0,999.0,0.0,55.0,54.0,0.0,232.0,61.0
120.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,72.0,72.0,0.0,0.0,206.0,0.0,89.0,326.0,461.0,479.0,997.0,0.0,41.0,47.0,0.0,266.0,42.0
119.0,99.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,60.0,78.0,0.0,0.0,206.0,0.0,89.0,335.0,461.0,478.0,997.0,0.0,40.0,45.0,0.0,288.0,40.0
124.0,100.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,63.0,72.0,0.0,0.0,206.0,0.0,89.0,338.0,463.0,478.0,996.0,0.0,34.0,36.0,0.0,297.0,30.0
235.0,135.0,43.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,54.0,64.0,0.0,0.0,205.0,0.0,90.0,349.0,463.0,478.0,995.0,0.0,32.0,37.0,0.0,298.0,30.0
215.0,132.0,38.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,50.0,61.0,0.0,0.0,205.0,0.0,95.0,321.0,462.0,478.0,994.0,0.0,39.0,64.0,0.0,297.0,29.0
116.0,97.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,53.0,47.0,0.0,0.0,205.0,0.0,90.0,316.0,458.0,478.0,992.0,0.0,57.0,80.0,0.0,297.0,26.0
