Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,15.0,17.0,0.0,345.0,204.0,26.0,191.0,94.0,344.0,463.0,484.0,0.0,0.0,10.0,11.0,0.0,292.0
0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,13.0,16.0,0.0,349.0,204.0,19.0,184.0,94.0,286.0,463.0,484.0,0.0,0.0,5.0,4.0,0.0,295.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,14.0,18.0,0.0,352.0,204.0,25.0,252.0,94.0,302.0,461.0,484.0,0.0,0.0,2.0,1.0,0.0,295.0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,92.0,0.0,14.0,18.0,0.0,352.0,204.0,27.0,254.0,94.0,292.0,461.0,484.0,0.0,0.0,1.0,2.0,0.0,293.0
0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,69.0,23.0,92.0,119.0,11.0,15.0,0.0,351.0,204.0,18.0,218.0,94.0,282.0,461.0,484.0,0.0,0.0,0.0,0.0,0.0,294.0
40.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,145.0,73.0,97.0,312.0,9.0,13.0,0.0,350.0,203.0,23.0,240.0,94.0,353.0,461.0,484.0,0.0,0.0,5.0,5.0,0.0,294.0
213.0,124.0,5.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,145.0,73.0,96.0,369.0,8.0,9.0,0.0,354.0,204.0,15.0,266.0,94.0,361.0,461.0,485.0,0.0,0.0,5.0,6.0,0.0,294.0
281.0,152.0,3.0,38.0,0.0,0.0,0.0,158.0,188.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,144.0,73.0,92.0,390.0,6.0,8.0,0.0,357.0,205.0,11.0,298.0,94.0,364.0,461.0,485.0,0.0,0.0,3.0,4.0,0.0,300.0
284.0,153.0,1.0,87.0,0.0,0.0,0.0,138.0,31.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,143.0,73.0,102.0,390.0,3.0,5.0,18.0,359.0,204.0,8.0,340.0,94.0,382.0,462.0,485.0,0.0,0.0,2.0,2.0,0.0,300.0
284.0,153.0,0.0,109.0,0.0,0.0,0.0,122.0,127.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,142.0,72.0,96.0,389.0,0.0,0.0,33.0,358.0,204.0,2.0,340.0,94.0,365.0,461.0,485.0,0.0,0.0,0.0,0.0,0.0,298.0
284.0,153.0,0.0,87.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,115.0,64.0,95.0,388.0,0.0,0.0,9.0,357.0,203.0,0.0,339.0,94.0,343.0,460.0,485.0,0.0,0.0,0.0,0.0,0.0,301.0
