Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,SERAING TV
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
268.0,148.0,155.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,0.0,122.0,123.0,144.0,0.0,130.0,69.0,24.0,0.0,162.0,208.0,0.0,291.0,0.0,283.0,299.0,99.0,401.0,17.0,78.0,0.0,0.0,142.0,158.0,0.0,234.0,,,
271.0,149.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,135.0,15.0,86.0,0.0,80.0,51.0,24.0,0.0,162.0,208.0,0.0,263.0,0.0,271.0,304.0,101.0,402.0,11.0,9.0,0.0,0.0,138.0,153.0,0.0,276.0,,,
271.0,149.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,123.0,0.0,69.0,0.0,90.0,55.0,24.0,0.0,162.0,207.0,0.0,286.0,0.0,257.0,282.0,101.0,324.0,0.0,0.0,0.0,0.0,125.0,151.0,0.0,270.0,,,
270.0,149.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,122.0,0.0,69.0,0.0,98.0,58.0,24.0,0.0,161.0,194.0,0.0,273.0,0.0,231.0,283.0,99.0,245.0,0.0,0.0,0.0,0.0,123.0,141.0,0.0,280.0,,,
272.0,149.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,138.0,0.0,73.0,0.0,97.0,58.0,24.0,0.0,160.0,180.0,0.0,275.0,0.0,235.0,321.0,99.0,239.0,0.0,0.0,0.0,0.0,118.0,148.0,0.0,286.0,,,
273.0,150.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,139.0,0.0,73.0,0.0,84.0,52.0,24.0,0.0,162.0,185.0,0.0,281.0,0.0,250.0,323.0,94.0,326.0,0.0,0.0,0.0,0.0,125.0,147.0,0.0,291.0,,,
277.0,151.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,136.0,0.0,72.0,0.0,82.0,51.0,24.0,0.0,160.0,199.0,0.0,256.0,0.0,259.0,316.0,94.0,391.0,0.0,0.0,0.0,0.0,114.0,149.0,0.0,283.0,,,
276.0,151.0,137.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,139.0,0.0,73.0,0.0,105.0,59.0,24.0,0.0,155.0,193.0,0.0,314.0,0.0,237.0,326.0,97.0,393.0,0.0,0.0,0.0,0.0,104.0,136.0,0.0,265.0,,,
270.0,149.0,101.0,125.0,0.0,92.0,0.0,0.0,129.0,0.0,0.0,1013.0,0.0,140.0,0.0,73.0,0.0,135.0,70.0,24.0,0.0,150.0,132.0,55.0,317.0,0.0,191.0,325.0,98.0,401.0,0.0,0.0,0.0,0.0,85.0,127.0,0.0,297.0,,,
269.0,148.0,115.0,71.0,0.0,18.0,0.0,0.0,191.0,0.0,0.0,1011.0,0.0,139.0,0.0,73.0,0.0,138.0,71.0,24.0,0.0,157.0,141.0,68.0,331.0,0.0,202.0,323.0,96.0,398.0,0.0,0.0,0.0,0.0,84.0,134.0,0.0,297.0,,,
264.0,147.0,102.0,125.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1011.0,0.0,138.0,0.0,73.0,0.0,114.0,63.0,24.0,0.0,148.0,114.0,66.0,330.0,0.0,150.0,320.0,94.0,392.0,0.0,0.0,0.0,0.0,85.0,94.0,0.0,261.0,,,
262.0,146.0,83.0,116.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,1010.0,0.0,136.0,0.0,72.0,0.0,101.0,58.0,24.0,0.0,130.0,104.0,39.0,301.0,0.0,164.0,317.0,93.0,387.0,0.0,0.0,0.0,0.0,107.0,124.0,0.0,281.0,,,
