Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
130.0,104.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,88.0,0.0,55.0,0.0,130.0,87.0,0.0,55.0,23.0,391.0,8.0,9.0,0.0,349.0,0.0,11.0,212.0,68.0,104.0,313.0,0.0,0.0,0.0,0.0,2.0,1.0,376.0,282.0
104.0,95.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,88.0,0.0,55.0,0.0,124.0,83.0,0.0,54.0,23.0,222.0,40.0,17.0,0.0,232.0,0.0,13.0,186.0,66.0,104.0,304.0,0.0,0.0,0.0,0.0,2.0,1.0,376.0,275.0
91.0,90.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,88.0,0.0,55.0,0.0,115.0,66.0,0.0,46.0,23.0,173.0,60.0,56.0,0.0,192.0,0.0,50.0,135.0,63.0,104.0,280.0,0.0,0.0,0.0,0.0,14.0,7.0,377.0,290.0
92.0,91.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,88.0,0.0,53.0,0.0,115.0,59.0,0.0,42.0,23.0,173.0,62.0,82.0,0.0,191.0,0.0,98.0,191.0,63.0,105.0,282.0,0.0,0.0,0.0,0.0,32.0,26.0,377.0,284.0
118.0,98.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,0.0,88.0,0.0,50.0,0.0,115.0,59.0,0.0,42.0,23.0,173.0,70.0,90.0,0.0,302.0,0.0,147.0,227.0,62.0,99.0,303.0,0.0,0.0,0.0,0.0,52.0,38.0,378.0,291.0
238.0,138.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,98.0,78.0,88.0,0.0,98.0,73.0,46.0,60.0,23.0,360.0,97.0,103.0,0.0,325.0,0.0,148.0,177.0,56.0,81.0,317.0,0.0,0.0,0.0,0.0,57.0,46.0,377.0,283.0
286.0,154.0,67.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1017.0,0.0,121.0,124.0,142.0,16.0,150.0,128.0,117.0,134.0,23.0,392.0,86.0,105.0,0.0,306.0,0.0,158.0,262.0,76.0,70.0,323.0,0.0,0.0,0.0,0.0,60.0,54.0,377.0,297.0
288.0,154.0,55.0,105.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,1017.0,0.0,142.0,146.0,158.0,87.0,150.0,120.0,129.0,138.0,23.0,392.0,73.0,77.0,0.0,312.0,0.0,111.0,338.0,95.0,69.0,329.0,0.0,0.0,0.0,0.0,45.0,47.0,376.0,303.0
289.0,154.0,47.0,74.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,1018.0,0.0,144.0,149.0,160.0,130.0,132.0,128.0,145.0,147.0,23.0,392.0,63.0,79.0,0.0,324.0,0.0,113.0,337.0,144.0,69.0,338.0,0.0,0.0,0.0,0.0,42.0,41.0,376.0,305.0
289.0,154.0,53.0,121.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,1019.0,0.0,143.0,147.0,160.0,122.0,122.0,128.0,145.0,147.0,23.0,392.0,74.0,78.0,0.0,355.0,0.0,122.0,336.0,139.0,69.0,369.0,0.0,0.0,0.0,0.0,46.0,41.0,375.0,303.0
287.0,154.0,61.0,100.0,0.0,66.0,0.0,0.0,106.0,0.0,0.0,1019.0,0.0,143.0,147.0,159.0,147.0,146.0,128.0,144.0,145.0,23.0,391.0,87.0,94.0,14.0,334.0,0.0,126.0,334.0,154.0,69.0,314.0,0.0,0.0,0.0,0.0,48.0,45.0,375.0,304.0
282.0,152.0,73.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1018.0,0.0,121.0,124.0,145.0,120.0,120.0,128.0,108.0,136.0,23.0,390.0,97.0,105.0,0.0,309.0,0.0,160.0,333.0,139.0,69.0,291.0,0.0,0.0,0.0,0.0,61.0,55.0,375.0,294.0
277.0,151.0,59.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,1018.0,0.0,128.0,130.0,150.0,84.0,84.0,128.0,119.0,137.0,23.0,389.0,79.0,101.0,0.0,350.0,0.0,150.0,332.0,114.0,69.0,349.0,0.0,0.0,0.0,0.0,59.0,57.0,374.0,286.0
276.0,151.0,46.0,0.0,77.0,0.0,0.0,0.0,45.0,0.0,0.0,1018.0,0.0,129.0,131.0,151.0,92.0,92.0,128.0,64.0,117.0,23.0,389.0,63.0,77.0,0.0,355.0,0.0,111.0,330.0,119.0,69.0,352.0,0.0,0.0,0.0,0.0,43.0,44.0,374.0,291.0
274.0,151.0,45.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,127.0,130.0,150.0,95.0,95.0,128.0,99.0,130.0,23.0,388.0,62.0,88.0,0.0,355.0,0.0,121.0,331.0,123.0,70.0,349.0,0.0,0.0,0.0,0.0,39.0,42.0,374.0,292.0
215.0,130.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,80.0,81.0,117.0,78.0,78.0,134.0,62.0,118.0,23.0,388.0,55.0,74.0,0.0,342.0,0.0,112.0,258.0,112.0,85.0,333.0,0.0,0.0,0.0,0.0,41.0,41.0,374.0,293.0
274.0,150.0,34.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017.0,0.0,123.0,125.0,144.0,86.0,86.0,146.0,92.0,131.0,23.0,386.0,45.0,55.0,0.0,335.0,0.0,96.0,332.0,115.0,99.0,335.0,0.0,0.0,0.0,0.0,39.0,37.0,374.0,292.0
278.0,152.0,39.0,118.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,1018.0,0.0,143.0,146.0,160.0,128.0,128.0,146.0,144.0,150.0,23.0,389.0,55.0,65.0,0.0,333.0,0.0,94.0,333.0,142.0,89.0,332.0,0.0,0.0,0.0,0.0,40.0,40.0,376.0,303.0
283.0,153.0,43.0,120.0,105.0,0.0,0.0,0.0,170.0,0.0,0.0,1017.0,0.0,143.0,147.0,160.0,138.0,138.0,146.0,145.0,151.0,23.0,390.0,62.0,60.0,0.0,334.0,0.0,94.0,335.0,149.0,89.0,349.0,0.0,0.0,0.0,0.0,41.0,41.0,376.0,303.0
286.0,153.0,43.0,47.0,20.0,0.0,0.0,0.0,137.0,0.0,0.0,1018.0,0.0,143.0,147.0,160.0,84.0,84.0,146.0,146.0,151.0,23.0,392.0,68.0,78.0,0.0,288.0,0.0,114.0,337.0,116.0,89.0,291.0,0.0,0.0,0.0,0.0,50.0,45.0,377.0,302.0
288.0,154.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,0.0,122.0,124.0,146.0,77.0,77.0,146.0,108.0,142.0,23.0,392.0,76.0,80.0,0.0,311.0,0.0,98.0,338.0,111.0,100.0,309.0,0.0,0.0,0.0,0.0,40.0,45.0,378.0,303.0
