Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
291.0,154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,95.0,95.0,117.0,152.0,153.0,130.0,153.0,151.0,49.0,383.0,8.0,5.0,0.0,304.0,204.0,7.0,348.0,158.0,125.0,329.0,480.0,493.0,0.0,0.0,2.0,2.0,0.0,359.0,249.0
290.0,154.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,118.0,119.0,138.0,154.0,155.0,131.0,29.0,86.0,49.0,384.0,15.0,9.0,0.0,307.0,130.0,13.0,348.0,160.0,125.0,331.0,480.0,493.0,0.0,0.0,5.0,5.0,0.0,358.0,243.0
290.0,154.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,0.0,93.0,93.0,120.0,155.0,157.0,131.0,0.0,69.0,50.0,384.0,9.0,7.0,0.0,305.0,80.0,9.0,347.0,161.0,125.0,328.0,480.0,493.0,0.0,0.0,2.0,3.0,0.0,355.0,246.0
291.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,0.0,98.0,98.0,122.0,156.0,158.0,131.0,0.0,69.0,49.0,383.0,1.0,1.0,0.0,303.0,80.0,2.0,335.0,161.0,125.0,331.0,482.0,493.0,0.0,0.0,0.0,0.0,0.0,358.0,231.0
291.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,91.0,91.0,116.0,146.0,147.0,131.0,0.0,69.0,50.0,211.0,0.0,0.0,0.0,320.0,80.0,0.0,313.0,155.0,126.0,349.0,483.0,493.0,0.0,0.0,0.0,0.0,0.0,357.0,226.0
277.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.0,0.0,91.0,91.0,117.0,150.0,151.0,131.0,16.0,69.0,49.0,360.0,0.0,0.0,0.0,299.0,83.0,0.0,282.0,157.0,126.0,327.0,483.0,493.0,0.0,0.0,0.0,0.0,0.0,358.0,205.0
280.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,0.0,117.0,118.0,134.0,127.0,127.0,129.0,121.0,121.0,50.0,382.0,0.0,0.0,0.0,328.0,161.0,0.0,320.0,142.0,126.0,360.0,482.0,493.0,0.0,0.0,0.0,0.0,26.0,356.0,286.0
291.0,154.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,111.0,111.0,129.0,151.0,152.0,128.0,135.0,144.0,50.0,382.0,6.0,9.0,0.0,297.0,204.0,12.0,347.0,159.0,126.0,321.0,483.0,493.0,0.0,0.0,2.0,2.0,256.0,357.0,305.0
