Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen,Norther Offshore WP
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
165.0,114.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1015.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,83.0,84.0,0.0,269.0,141.0,119.0,0.0,0.0,105.0,251.0,487.0,493.0,0.0,1034.0,34.0,60.0,0.0,230.0,285.0,
164.0,113.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1015.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,76.0,84.0,0.0,201.0,116.0,136.0,0.0,0.0,105.0,239.0,487.0,493.0,0.0,1034.0,41.0,65.0,0.0,229.0,295.0,
132.0,105.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1016.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,74.0,81.0,0.0,236.0,81.0,138.0,0.0,0.0,105.0,257.0,487.0,492.0,0.0,1033.0,41.0,66.0,0.0,229.0,276.0,
116.0,100.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1016.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,80.0,92.0,0.0,296.0,81.0,139.0,0.0,0.0,105.0,241.0,487.0,493.0,0.0,1034.0,39.0,73.0,0.0,229.0,255.0,
267.0,145.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1017.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,79.0,87.0,5.0,309.0,81.0,123.0,0.0,0.0,105.0,239.0,487.0,493.0,0.0,1034.0,35.0,71.0,0.0,229.0,264.0,
261.0,147.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,1018.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,117.0,80.0,87.0,9.0,286.0,116.0,121.0,0.0,0.0,105.0,326.0,487.0,492.0,0.0,1034.0,30.0,64.0,0.0,229.0,298.0,
270.0,149.0,65.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,1017.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,370.0,80.0,76.0,0.0,300.0,192.0,108.0,149.0,0.0,105.0,407.0,488.0,493.0,0.0,1034.0,24.0,53.0,0.0,262.0,303.0,
266.0,148.0,56.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,1017.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,388.0,71.0,66.0,0.0,295.0,205.0,92.0,333.0,0.0,105.0,414.0,488.0,493.0,0.0,1034.0,21.0,43.0,0.0,263.0,299.0,
268.0,149.0,52.0,138.0,136.0,103.0,122.0,0.0,13.0,0.0,437.0,1016.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,389.0,69.0,55.0,0.0,275.0,205.0,82.0,346.0,0.0,105.0,397.0,488.0,493.0,0.0,1037.0,23.0,41.0,0.0,258.0,297.0,
244.0,142.0,51.0,65.0,4.0,2.0,3.0,0.0,0.0,0.0,437.0,1015.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,389.0,64.0,57.0,0.0,205.0,205.0,90.0,327.0,0.0,105.0,412.0,488.0,493.0,0.0,1036.0,25.0,49.0,0.0,257.0,289.0,
242.0,140.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1015.0,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,364.0,67.0,58.0,0.0,209.0,205.0,94.0,234.0,0.0,105.0,412.0,487.0,493.0,0.0,1035.0,24.0,48.0,0.0,257.0,287.0,
237.0,140.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1014.0,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,354.0,65.0,57.0,0.0,203.0,204.0,90.0,168.0,0.0,105.0,381.0,487.0,493.0,0.0,1034.0,25.0,50.0,0.0,257.0,294.0,
99.0,96.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1014.0,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,274.0,72.0,67.0,0.0,234.0,164.0,98.0,334.0,0.0,105.0,398.0,487.0,493.0,0.0,1033.0,25.0,54.0,0.0,257.0,274.0,
216.0,131.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1014.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,270.0,80.0,83.0,0.0,218.0,103.0,131.0,242.0,0.0,105.0,385.0,487.0,493.0,0.0,1034.0,34.0,78.0,0.0,257.0,282.0,
243.0,141.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1013.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,293.0,81.0,112.0,0.0,220.0,101.0,147.0,169.0,0.0,105.0,384.0,487.0,493.0,0.0,1034.0,34.0,61.0,0.0,257.0,295.0,
242.0,140.0,70.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,437.0,1013.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,390.0,87.0,77.0,0.0,224.0,106.0,97.0,295.0,0.0,105.0,385.0,487.0,493.0,0.0,1033.0,29.0,30.0,0.0,257.0,294.0,
250.0,143.0,76.0,18.0,0.0,0.0,17.0,0.0,0.0,0.0,437.0,1014.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,390.0,94.0,88.0,0.0,261.0,177.0,109.0,345.0,0.0,105.0,397.0,487.0,493.0,0.0,1032.0,25.0,40.0,0.0,257.0,290.0,
247.0,142.0,98.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,436.0,1014.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,355.0,112.0,112.0,0.0,248.0,204.0,151.0,252.0,0.0,105.0,400.0,487.0,493.0,0.0,1032.0,31.0,68.0,0.0,257.0,281.0,
260.0,146.0,109.0,0.0,0.0,0.0,129.0,0.0,76.0,0.0,437.0,1014.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,390.0,129.0,130.0,0.0,265.0,203.0,179.0,346.0,0.0,105.0,389.0,487.0,493.0,0.0,1033.0,43.0,104.0,0.0,266.0,294.0,
261.0,147.0,96.0,94.0,60.0,0.0,160.0,164.0,169.0,0.0,437.0,1013.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,392.0,121.0,143.0,18.0,260.0,204.0,206.0,347.0,0.0,105.0,392.0,487.0,493.0,0.0,1033.0,54.0,131.0,0.0,266.0,286.0,
253.0,144.0,101.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,437.0,1013.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,393.0,123.0,132.0,0.0,259.0,189.0,203.0,272.0,0.0,105.0,412.0,486.0,493.0,0.0,1034.0,55.0,124.0,0.0,266.0,275.0,
270.0,150.0,83.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,437.0,1013.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,393.0,106.0,110.0,21.0,332.0,134.0,179.0,267.0,0.0,105.0,413.0,486.0,493.0,0.0,1034.0,40.0,98.0,0.0,266.0,292.0,
259.0,146.0,67.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,437.0,1014.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,393.0,90.0,86.0,11.0,286.0,129.0,129.0,344.0,0.0,105.0,413.0,486.0,493.0,0.0,1033.0,30.0,59.0,0.0,266.0,289.0,
234.0,139.0,57.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,437.0,1015.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,380.0,77.0,85.0,5.0,212.0,130.0,133.0,347.0,0.0,105.0,413.0,486.0,493.0,0.0,1033.0,29.0,67.0,0.0,266.0,302.0,
243.0,141.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,1010.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,49.0,87.0,113.0,0.0,223.0,103.0,183.0,310.0,0.0,105.0,406.0,486.0,493.0,0.0,1033.0,42.0,100.0,0.0,230.0,270.0,
