Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Norther Offshore WP,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,SERAING TV,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,VILVOORDE GT,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,455.0,437.0,1022.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,266.0,0.0,72.0,361.0,473.0,488.0,0.0,1042.0,0.0,0.0,0.0,343.0,302.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,437.0,1022.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,72.0,323.0,473.0,488.0,0.0,1042.0,0.0,0.0,0.0,346.0,302.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1023.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,72.0,325.0,474.0,488.0,0.0,1042.0,0.0,0.0,0.0,348.0,301.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1023.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,72.0,284.0,473.0,488.0,0.0,1042.0,0.0,0.0,0.0,350.0,269.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1023.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,72.0,272.0,474.0,488.0,0.0,1042.0,0.0,0.0,0.0,353.0,274.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,436.0,1022.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,73.0,258.0,473.0,488.0,0.0,1042.0,0.0,0.0,0.0,351.0,276.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,437.0,1022.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,73.0,263.0,475.0,488.0,0.0,1042.0,0.0,0.0,0.0,351.0,264.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,436.0,1022.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,73.0,262.0,475.0,488.0,0.0,1041.0,0.0,0.0,0.0,353.0,271.0
