DateUTC,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,LT,LU,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,XK
2023-01-01 00:00:00,0.7867488294743306,5280.8,826.36,7082.92,3715.14,7373.01,5298.83,37935.2625,3388.95,776.5,19251.0,8809.4,45709.0,,1527.66,3987.0,1521.25,3807.605,3303.715,19857.0,978.87,379.015,546.0,449.0,333.15,838.0,9768.5325,16546.67,12508.71,4542.1,4814.5,3867.0,13595.0,945.06,2201.0,997.03
2023-01-01 01:00:00,0.6743561395494262,5143.0,803.53,6820.1925,3563.29,7464.26,5203.81,37103.11,3342.47,757.0,18104.0,8631.8,44640.0,,1495.33,3776.0,1437.5,3585.595,3167.21,18810.0,947.68,367.0675,523.0,425.0,308.17,765.0,9553.945,16522.07,11845.2,4397.2,4663.75,3699.0,13802.0,912.84,2211.0,950.99
2023-01-01 02:00:00,0.6059431978560061,4958.7,825.69,6588.475,3477.78,6896.76,5051.55,36139.2725,3192.26,743.7,17090.0,8587.3,41533.0,,1480.87,3632.0,1362.0,3441.8325,3007.45,17892.0,937.41,358.4375,518.0,411.0,280.48,702.0,9296.33,16442.2,11462.4,4146.6,4566.75,3447.0,13819.0,883.43,2164.0,841.79
2023-01-01 03:00:00,0.5815100043940704,4905.4,909.3,6430.72,3432.44,7145.96,4980.12,35711.445,3106.97,737.6,16531.0,8627.7,39248.0,,1498.31,3621.0,1324.75,3384.61,2908.805,17407.0,933.6,353.5325,514.0,405.0,268.46,664.0,9135.8125,16406.04,11454.2,3955.7,4520.75,3253.0,13890.0,856.81,2152.0,758.76
2023-01-01 04:00:00,0.5912832817788447,5025.8,815.14,6464.385,3443.06,7148.45,4952.0,35854.04,3073.45,749.4,16180.0,8825.4,38389.0,,1509.83,3684.0,1320.5,3416.9425,2840.69,17455.0,961.83,354.7225,534.0,412.0,264.49,655.0,9080.45,16614.37,11560.6,3801.3,4484.25,3147.0,13441.0,869.42,2166.0,709.17
2023-01-01 05:00:00,0.6450363073951033,5163.4,849.24,6634.065,3514.57,7148.89,4973.02,35397.6475,3088.42,763.5,16229.0,8868.3,38596.0,,1556.38,3796.0,1358.75,3516.645,2795.895,18089.0,981.96,353.7075,548.0,410.0,258.32,660.0,9176.2475,16468.83,11651.36,3693.4,4430.25,3117.0,13488.0,913.32,2217.0,703.18
2023-01-01 06:00:00,0.7623156360123948,5439.5,845.93,6715.9325,3646.95,7165.62,4986.27,36336.57,3117.77,782.7,16512.0,9056.4,39026.0,,1627.28,3916.0,1346.25,3532.485,2837.53,18419.0,981.99,360.405,554.0,431.0,268.67,659.0,9417.83,16539.25,11707.08,3687.2,4388.75,3108.0,13904.0,966.23,2248.0,676.84
2023-01-01 07:00:00,0.9186880741687835,5696.1,988.66,6827.96,3674.68,7154.78,5091.37,36986.1275,3295.17,797.2,16511.0,9156.9,39316.0,,1712.31,4319.0,1433.25,3534.175,2888.1,18967.0,999.68,363.9025,567.0,460.0,304.42,710.0,9719.5525,16710.39,11897.46,3638.7,4376.25,3270.0,14255.0,966.41,2264.0,701.71
2023-01-01 08:00:00,1.0164208480165264,5847.1,1025.01,7008.1,3618.76,6961.26,5412.34,39389.84,3498.47,841.1,16890.0,9296.0,39420.0,,1737.32,4669.0,1574.5,3573.4975,2941.28,20504.0,1046.18,372.4025,602.0,476.0,340.49,784.0,10049.9525,16906.26,12449.15,3637.6,4303.25,3455.0,14338.0,1035.57,2427.0,785.5
2023-01-01 09:00:00,1.0457406801708493,5884.5,1024.88,7342.4425,3502.04,6956.48,5696.34,41170.715,3683.5,885.4,18153.0,9449.5,40922.0,,1732.01,4946.0,1705.5,3592.495,3065.515,21519.0,1073.07,392.64,632.0,491.0,366.25,859.0,10083.84,17374.52,13041.71,3979.0,4224.75,3583.0,14623.0,1025.4,2463.0,880.47
